articleId,posGroupCashier,articleName,cancellationCount,cancelledQuantity,cancelledAmount,cashier
SM0019,SmartStoreWalldorf SmartStoreWalldorf / smart,TOPVALU Fine-cuts Sweet Potatos Snacks,6.0,6.0,45.94,smart
AR00081,SmartStoreWalldorf SmartStoreWalldorf / smart,Beef Jerky Sweet & Hot,19.0,19.0,37.75,smart
AR00080,SmartStoreWalldorf SmartStoreWalldorf / smart,Beef Jerky Original,15.0,15.0,31.5,smart
AR00149,SmartStoreWalldorf SmartStoreWalldorf / smart,Butcher Chick Curry Ki 400g,7.0,7.0,30.74,smart
SM0017,SmartStoreWalldorf SmartStoreWalldorf / smart,TOPVALU Joynuts Strawberry Mix,2.0,2.0,29.8,smart
AR00115,SmartStoreWalldorf SmartStoreWalldorf / smart,Mentos Gum Pure Frost,8.0,8.0,28.0,smart
AR90054,SmartStoreWalldorf SmartStoreWalldorf / smart,Red Bull Sea Blue Edition,23.0,23.0,24.61,smart
AR00454,SmartStoreWalldorf SmartStoreWalldorf / smart,Airwaves Menth & Eucalypt Box,7.0,7.0,20.3,smart
AR00094,SmartStoreWalldorf SmartStoreWalldorf / smart,Disposable cutlery set,59.0,59.0,17.7,smart
AR90019,SmartStoreWalldorf SmartStoreWalldorf / smart,DPG Vitamin Well Hydrate,9.0,9.0,17.55,smart
AR00331,SmartStoreWalldorf SmartStoreWalldorf / smart,The Yeah Blend Green Matcha Latte Powder,1.0,1.0,16.57,smart
AR90055,SmartStoreWalldorf SmartStoreWalldorf / smart,Red Bull Summer Edition,17.0,17.0,16.09,smart
AR00017,SmartStoreWalldorf SmartStoreWalldorf / smart,Wheat Germ & Tomato Cuori 250g,4.0,4.0,15.6,smart
AR00448,SmartStoreWalldorf SmartStoreWalldorf / smart,Aramark Seasoning Mix,4.0,4.0,15.56,smart
AR00088,SmartStoreWalldorf SmartStoreWalldorf / smart,Wick Blau ohne Zucker,7.0,7.0,15.4,smart
AR00432,SmartStoreWalldorf SmartStoreWalldorf / smart,ichoc Choco Cookie,4.0,4.0,14.0,smart
AR00025,SmartStoreWalldorf SmartStoreWalldorf / smart,Mars Ice Cream Eisriegel,5.0,5.0,12.5,smart
SM0016,SmartStoreWalldorf SmartStoreWalldorf / smart,TOPVALU Chocoka Plain,7.0,7.0,12.33,smart
AR00278,SmartStoreWalldorf SmartStoreWalldorf / smart,Gaudenz Cuvée Rot Weingut Knipser,1.0,1.0,11.9,smart
AR00394,SmartStoreWalldorf SmartStoreWalldorf / smart,Koro Protein Bar Pistachio,4.0,4.0,11.6,smart
AR90012,SmartStoreWalldorf SmartStoreWalldorf / smart,Red Bull Green Edition,9.0,9.0,11.43,smart
AR00233,SmartStoreWalldorf SmartStoreWalldorf / smart,Strohhalme Einweg Bambus,1.0,1.0,10.9,smart
SM0015,SmartStoreWalldorf SmartStoreWalldorf / smart,TOPVALU Cheese Snacks,7.0,7.0,10.63,smart
AR90016,SmartStoreWalldorf SmartStoreWalldorf / smart,Red Bull Blue Edition,8.0,8.0,10.18,smart
AR00147,SmartStoreWalldorf SmartStoreWalldorf / smart,Butcher Lasagne Yeah,2.0,2.0,9.31,smart
AR90039,SmartStoreWalldorf SmartStoreWalldorf / smart,"Coca Cola Zero 0,4L Glas Mehrweg",6.0,6.0,9.0,smart
AR00148,SmartStoreWalldorf SmartStoreWalldorf / smart,Butcher Chill mal Carne,2.0,2.0,8.82,smart
AR00189,SmartStoreWalldorf SmartStoreWalldorf / smart,Gefüllter Triple Chocolate Muffin,4.0,4.0,8.8,smart
AR00453,SmartStoreWalldorf SmartStoreWalldorf / smart,Bifi Roll XXL,4.0,4.0,8.4,smart
AR90011,SmartStoreWalldorf SmartStoreWalldorf / smart,Red Bull White Edition,9.0,9.0,8.03,smart
SM0017,SmartStoreWalldorf SmartStoreWalldorf / smart,Milk Chocolate Style Raisins,4.0,4.0,7.96,smart
AR00365,SmartStoreWalldorf SmartStoreWalldorf / smart,Snack Nüsse Honig & Salz,2.0,2.0,7.5,smart
AR00187,SmartStoreWalldorf SmartStoreWalldorf / smart,Twix Ice Cream Eisriegel,3.0,3.0,7.5,smart
AR00053,SmartStoreWalldorf SmartStoreWalldorf / smart,Tomatenmark 200g Tube,2.0,2.0,6.8,smart
AR90014,SmartStoreWalldorf SmartStoreWalldorf / smart,"Red Bull Sugar Free 0,25",5.0,5.0,6.79,smart
AR00407,SmartStoreWalldorf SmartStoreWalldorf / smart,Soft Protein Riegel Salted Peanut Carame,2.0,2.0,6.4,smart
AR90015,SmartStoreWalldorf SmartStoreWalldorf / smart,Red Bull Zero,5.0,5.0,6.36,smart
AR00283,SmartStoreWalldorf SmartStoreWalldorf / smart,Starbucks Caramel Macchiato,2.0,2.0,5.9,smart
AR00188,SmartStoreWalldorf SmartStoreWalldorf / smart,Laugenbrezel mit Butter,3.0,3.0,5.4,smart
AR00013,SmartStoreWalldorf SmartStoreWalldorf / smart,Berliner Brezel 70g FB,3.0,3.0,5.4,smart
AR00008,SmartStoreWalldorf SmartStoreWalldorf / smart,Schinken Käse Croissant Snack,3.0,3.0,5.4,smart
AR90034,SmartStoreWalldorf SmartStoreWalldorf / smart,Welde Slow,3.0,3.0,5.1,smart
AR00241,SmartStoreWalldorf SmartStoreWalldorf / smart,HOMEMADE BUN HAM,2.0,2.0,5.0,smart
AR00035,SmartStoreWalldorf SmartStoreWalldorf / smart,ARAMARK BIO Pfeffer schwarz 40g Mühle,2.0,2.0,5.0,smart
AR00086,SmartStoreWalldorf SmartStoreWalldorf / smart,Disposable barbecue,1.0,1.0,4.95,smart
AR00117,SmartStoreWalldorf SmartStoreWalldorf / smart,BiFi Veggie Roll XXL,2.0,2.0,4.2,smart
AR00128,SmartStoreWalldorf SmartStoreWalldorf / smart,Always Ultra,1.0,1.0,4.0,smart
AR00152,SmartStoreWalldorf SmartStoreWalldorf / smart,Leibniz Butterkeks,1.0,1.0,3.95,smart
AR00344,SmartStoreWalldorf SmartStoreWalldorf / smart,Schinkenwurst 200g Dose,1.0,1.0,3.9,smart
AR90042,SmartStoreWalldorf SmartStoreWalldorf / smart,Welde Weizen,2.0,2.0,3.8,smart
AR00219,SmartStoreWalldorf SmartStoreWalldorf / smart,Ritter Sport Edel Vollmilch 100g,2.0,2.0,3.8,smart
AR00165,SmartStoreWalldorf SmartStoreWalldorf / smart,GO FRESH Wrap Thunfisch,1.0,1.0,3.8,smart
AR00164,SmartStoreWalldorf SmartStoreWalldorf / smart,GO FRESH Wrap Linse Falaf,1.0,1.0,3.8,smart
AR00161,SmartStoreWalldorf SmartStoreWalldorf / smart,GO FRESH Sanw Schink Goud,1.0,1.0,3.8,smart
AR00062,SmartStoreWalldorf SmartStoreWalldorf / smart,Flash barbecue lighter,2.0,2.0,3.8,smart
AR00364,SmartStoreWalldorf SmartStoreWalldorf / smart,Snack Nüsse Chilli,1.0,1.0,3.75,smart
AR00107,SmartStoreWalldorf SmartStoreWalldorf / smart,Gilette Disposable razor,1.0,1.0,3.7,smart
AR00213,SmartStoreWalldorf SmartStoreWalldorf / smart,Twix Xtra 75g,3.0,3.0,3.6,smart
AR00119,SmartStoreWalldorf SmartStoreWalldorf / smart,Oet Baguette Salami,1.0,1.0,3.5,smart
AR90041,SmartStoreWalldorf SmartStoreWalldorf / smart,FUZE T ZITRONE,2.0,2.0,3.4,smart
AR00040,SmartStoreWalldorf SmartStoreWalldorf / smart,Barebells Caramel Choco 55g,1.0,1.0,3.3,smart
AR00382,SmartStoreWalldorf SmartStoreWalldorf / smart,Dr.  Kargs Protein Knäcke,1.0,1.0,3.25,smart
AR90029,SmartStoreWalldorf SmartStoreWalldorf / smart,Teinacher Johannisbeer Holunder,2.0,2.0,3.2,smart
AR00212,SmartStoreWalldorf SmartStoreWalldorf / smart,Mars Protein 50g,1.0,1.0,3.2,smart
AR00108,SmartStoreWalldorf SmartStoreWalldorf / smart,M Cooky Gloria Gebäckmisc,1.0,1.0,3.0,smart
AR00285,SmartStoreWalldorf SmartStoreWalldorf / smart,Starbucks Cappuccino,1.0,1.0,2.95,smart
AR00282,SmartStoreWalldorf SmartStoreWalldorf / smart,Starbucks Caffé Latte,1.0,1.0,2.95,smart
AR00136,SmartStoreWalldorf SmartStoreWalldorf / smart,La Magnum Almond,1.0,1.0,2.7,smart
AR00090,SmartStoreWalldorf SmartStoreWalldorf / smart,BiFi Carazza,2.0,2.0,2.6,smart
AR00395,SmartStoreWalldorf SmartStoreWalldorf / smart,Koro Protein Bar Schoko Brownie,1.0,1.0,2.5,smart
AR00244,SmartStoreWalldorf SmartStoreWalldorf / smart,HOMEMADE BUN Veggie Laugenecke Tom Moz,1.0,1.0,2.5,smart
AR00242,SmartStoreWalldorf SmartStoreWalldorf / smart,HOMEMADE BUN Salami,1.0,1.0,2.5,smart
AR00203,SmartStoreWalldorf SmartStoreWalldorf / smart,Nussschnecke,1.0,1.0,2.5,smart
AR00288,SmartStoreWalldorf SmartStoreWalldorf / smart,Smothie Froosh  Strawberry 250ml,1.0,1.0,2.4,smart
AR00438,SmartStoreWalldorf SmartStoreWalldorf / smart,Takis Blue Heat,1.0,1.0,2.35,smart
AR00398,SmartStoreWalldorf SmartStoreWalldorf / smart,Gepa Schokolade Vollmilch 100g Bio Voll,1.0,1.0,2.35,smart
AR00396,SmartStoreWalldorf SmartStoreWalldorf / smart,Koro Protein Bar Peanut Chocolate,1.0,1.0,2.2,smart
AR00294,SmartStoreWalldorf SmartStoreWalldorf / smart,Shot Ginger Apple 60ml,1.0,1.0,2.2,smart
AR00291,SmartStoreWalldorf SmartStoreWalldorf / smart,Shot Kurkuma Orange 60ml,1.0,1.0,2.2,smart
AR90053,SmartStoreWalldorf SmartStoreWalldorf / smart,"Moretti Beer 0,33L",1.0,1.0,2.0,smart
AR00198,SmartStoreWalldorf SmartStoreWalldorf / smart,Tempo fresh to go Protect,1.0,1.0,2.0,smart
AR00109,SmartStoreWalldorf SmartStoreWalldorf / smart,M Cooky Spritzgebäck,1.0,1.0,2.0,smart
AR00084,SmartStoreWalldorf SmartStoreWalldorf / smart,La Nogger Choc,1.0,1.0,2.0,smart
AR00010,SmartStoreWalldorf SmartStoreWalldorf / smart,Protein Bar Chocolate,2.0,2.0,2.0,smart
IKA019,SmartStoreWalldorf SmartStoreWalldorf / smart,ENSTÄMMIG - Potato crisps,1.0,1.0,1.99,smart
AR90018,SmartStoreWalldorf SmartStoreWalldorf / smart,DPG Vitamin Well Reload,1.0,1.0,1.95,smart
AR00240,SmartStoreWalldorf SmartStoreWalldorf / smart,HOMEMADE BUN Cheese,1.0,1.0,1.9,smart
AR00126,SmartStoreWalldorf SmartStoreWalldorf / smart,M Candy Schokoerdnüsse,1.0,1.0,1.9,smart
AR00113,SmartStoreWalldorf SmartStoreWalldorf / smart,Erdnussflips,1.0,1.0,1.9,smart
AR00101,SmartStoreWalldorf SmartStoreWalldorf / smart,Brezeln,1.0,1.0,1.9,smart
AR90003,SmartStoreWalldorf SmartStoreWalldorf / smart,"Leergut 0,15 EUR",12.0,12.0,1.8,smart
IKA007,SmartStoreWalldorf SmartStoreWalldorf / smart,"LÅNGLUR - smoothie, green/added vitamin",1.0,1.0,1.79,smart
AR90040,SmartStoreWalldorf SmartStoreWalldorf / smart,FUZE T PFIRSICH,1.0,1.0,1.7,smart
AR90035,SmartStoreWalldorf SmartStoreWalldorf / smart,Welde Naturradler,1.0,1.0,1.7,smart
AR90050,SmartStoreWalldorf SmartStoreWalldorf / smart,Untou Bio Matcha Lime,1.0,1.0,1.6,smart
SM0016,SmartStoreWalldorf SmartStoreWalldorf / smart,Natural Happiness Nut & Fruit Mix,1.0,1.0,1.59,smart
AR00087,SmartStoreWalldorf SmartStoreWalldorf / smart,Parking disc,1.0,1.0,1.5,smart
AR00004,SmartStoreWalldorf SmartStoreWalldorf / smart,Duplo,3.0,3.0,1.5,smart
IKA014,SmartStoreWalldorf SmartStoreWalldorf / smart,MUNSBIT - Mix of roasted nuts/berrie,1.0,1.0,1.49,smart
AR90008,SmartStoreWalldorf SmartStoreWalldorf / smart,"Hochwald Eiskaffee 0,25l Dose",1.0,1.0,1.4,smart
AR90007,SmartStoreWalldorf SmartStoreWalldorf / smart,"Hochwald Eisschoko 0,25l Dose",1.0,1.0,1.4,smart
AR00176,SmartStoreWalldorf SmartStoreWalldorf / smart,Pringles Hot & Spicy,1.0,1.0,1.4,smart
AR00129,SmartStoreWalldorf SmartStoreWalldorf / smart,BiFi Roll,1.0,1.0,1.4,smart
AR00114,SmartStoreWalldorf SmartStoreWalldorf / smart,Pringles Sweet Paprika,1.0,1.0,1.4,smart
SM0015,SmartStoreWalldorf SmartStoreWalldorf / smart,Becky's DUO Cakes,1.0,1.0,1.29,smart
AR90033,SmartStoreWalldorf SmartStoreWalldorf / smart,Teinacher still 0.7,1.0,1.0,1.2,smart
AR00401,SmartStoreWalldorf SmartStoreWalldorf / smart,Bio honey almond fairness 45g,1.0,1.0,1.2,smart
AR00321,SmartStoreWalldorf SmartStoreWalldorf / smart,GIANT Flapjack Pecanut,1.0,1.0,1.2,smart
AR00319,SmartStoreWalldorf SmartStoreWalldorf / smart,GIANT Flapjack Raspberry,1.0,1.0,1.2,smart
AR00318,SmartStoreWalldorf SmartStoreWalldorf / smart,GIANT Flapjack Blueberry,1.0,1.0,1.2,smart
AR00211,SmartStoreWalldorf SmartStoreWalldorf / smart,Mars Riegel Mars 2 Pack 70g,1.0,1.0,1.2,smart
IKA013,SmartStoreWalldorf SmartStoreWalldorf / smart,FYRTAKT - Jelly candy berry flavours,1.0,1.0,1.19,smart
IKA012,SmartStoreWalldorf SmartStoreWalldorf / smart,"FYRTAKT - Jelly candy, cola flavour",1.0,1.0,1.19,smart
AR00220,SmartStoreWalldorf SmartStoreWalldorf / smart,Haribo Goldbären 100g,1.0,1.0,1.0,smart
AR00209,SmartStoreWalldorf SmartStoreWalldorf / smart,Kinderriegel,2.0,2.0,1.0,smart
AR00207,SmartStoreWalldorf SmartStoreWalldorf / smart,Hanuta 2er 44g,1.0,1.0,1.0,smart
AR00039,SmartStoreWalldorf SmartStoreWalldorf / smart,Airwaves Menth & Eucalypt,1.0,1.0,1.0,smart
AR00011,SmartStoreWalldorf SmartStoreWalldorf / smart,Protein Bar Vanilla Stracci,1.0,1.0,1.0,smart
AR00009,SmartStoreWalldorf SmartStoreWalldorf / smart,Protein Bar Caramell Toffee,1.0,1.0,1.0,smart
SM0014,SmartStoreWalldorf SmartStoreWalldorf / smart,Sunny Bites Banana Chips,1.0,1.0,0.99,smart
AR90002,SmartStoreWalldorf SmartStoreWalldorf / smart,"Leergut 0,08 EUR",7.0,7.0,0.56,smart
AR00249,SmartStoreWalldorf SmartStoreWalldorf / smart,Cafe Creme,1.0,1.0,0.19,smart
AR00027,SmartStoreWalldorf SmartStoreWalldorf / -,Black Truffle Trufa Negra 24 Beutel á,97.0,97.0,116.4,-
AR00271,SmartStoreWalldorf SmartStoreWalldorf / -,Kaffee SAP Kaffee 1000gr.,3.0,3.0,81.0,-
AR00160,SmartStoreWalldorf SmartStoreWalldorf / -,GO FRESH Tuna Sandwich,5.0,5.0,19.0,-
AR90021,SmartStoreWalldorf SmartStoreWalldorf / -,YFood Trink Vanilla,3.0,3.0,14.7,-
AR00394,SmartStoreWalldorf SmartStoreWalldorf / -,Koro Protein Bar Pistachio,5.0,5.0,14.5,-
AR00088,SmartStoreWalldorf SmartStoreWalldorf / -,Wick Blau ohne Zucker,6.0,6.0,13.2,-
AR00163,SmartStoreWalldorf SmartStoreWalldorf / -,GO FRESH Sandw Käse,3.0,3.0,11.4,-
AR00008,SmartStoreWalldorf SmartStoreWalldorf / -,Schinken Käse Croissant Snack,6.0,6.0,10.8,-
AR00080,SmartStoreWalldorf SmartStoreWalldorf / -,Beef Jerky Original,4.0,4.0,10.0,-
AR00040,SmartStoreWalldorf SmartStoreWalldorf / -,Barebells Caramel Choco 55g,3.0,3.0,9.9,-
AR00136,SmartStoreWalldorf SmartStoreWalldorf / -,La Magnum Almond,3.0,3.0,8.1,-
AR00095,SmartStoreWalldorf SmartStoreWalldorf / -,Nissin Cup Noodles Chicke,3.0,3.0,7.8,-
AR00165,SmartStoreWalldorf SmartStoreWalldorf / -,GO FRESH Wrap Thunfisch,2.0,2.0,7.6,-
AR00157,SmartStoreWalldorf SmartStoreWalldorf / -,GO FRESH Wrap Chicken Chi,2.0,2.0,7.6,-
AR00081,SmartStoreWalldorf SmartStoreWalldorf / -,Beef Jerky Sweet & Hot,3.0,3.0,7.5,-
AR00119,SmartStoreWalldorf SmartStoreWalldorf / -,Oet Baguette Salami,2.0,2.0,7.0,-
AR00115,SmartStoreWalldorf SmartStoreWalldorf / -,Mentos Gum Pure Frost,2.0,2.0,7.0,-
AR90015,SmartStoreWalldorf SmartStoreWalldorf / -,Red Bull Zero,4.0,4.0,6.8,-
AR90039,SmartStoreWalldorf SmartStoreWalldorf / -,"Coca Cola Zero 0,4L Glas Mehrweg",4.0,4.0,6.0,-
AR00138,SmartStoreWalldorf SmartStoreWalldorf / -,La Cornetto Haselnuss,3.0,3.0,6.0,-
AR00304,SmartStoreWalldorf SmartStoreWalldorf / -,Graci Laboratories Muesli Fruits Big Tu,1.0,1.0,5.65,-
AR90013,SmartStoreWalldorf SmartStoreWalldorf / -,"Red Bull 0,25",3.0,3.0,5.1,-
AR90012,SmartStoreWalldorf SmartStoreWalldorf / -,Red Bull Green Edition,3.0,3.0,5.1,-
AR00065,SmartStoreWalldorf SmartStoreWalldorf / -,BLACK FOREST ICE CREAM Schokolade 100ml,2.0,2.0,5.0,-
AR00061,SmartStoreWalldorf SmartStoreWalldorf / -,Mais Dose Glas,2.0,2.0,5.0,-
AR00121,SmartStoreWalldorf SmartStoreWalldorf / -,Cashews gerös,2.0,2.0,4.4,-
AR00097,SmartStoreWalldorf SmartStoreWalldorf / -,Erbsen Möhren Dose Glas,1.0,1.0,4.3,-
AR90008,SmartStoreWalldorf SmartStoreWalldorf / -,"Hochwald Eiskaffee 0,25l Dose",3.0,3.0,4.2,-
AR00117,SmartStoreWalldorf SmartStoreWalldorf / -,BiFi Veggie Roll XXL,2.0,2.0,4.2,-
AR00171,SmartStoreWalldorf SmartStoreWalldorf / -,Dr Oetker Ofenfrische Peperoni Salami,1.0,1.0,3.95,-
AR00096,SmartStoreWalldorf SmartStoreWalldorf / -,Leibniz Schokokeks VM,1.0,1.0,3.95,-
AR90018,SmartStoreWalldorf SmartStoreWalldorf / -,DPG Vitamin Well Reload,2.0,2.0,3.9,-
AR00020,SmartStoreWalldorf SmartStoreWalldorf / -,Graci Müsli High Beautiful,1.0,1.0,3.9,-
AR00166,SmartStoreWalldorf SmartStoreWalldorf / -,GO FRESH Sandw SweetChili,1.0,1.0,3.8,-
AR90031,SmartStoreWalldorf SmartStoreWalldorf / -,Teinacher classic,3.0,3.0,3.6,-
AR00188,SmartStoreWalldorf SmartStoreWalldorf / -,Laugenbrezel mit Butter,2.0,2.0,3.6,-
AR00013,SmartStoreWalldorf SmartStoreWalldorf / -,Berliner Brezel 70g FB,2.0,2.0,3.6,-
AR00432,SmartStoreWalldorf SmartStoreWalldorf / -,ichoc Choco Cookie,1.0,1.0,3.5,-
AR00110,SmartStoreWalldorf SmartStoreWalldorf / -,Hansaplast Sensitive,1.0,1.0,3.5,-
AR90054,SmartStoreWalldorf SmartStoreWalldorf / -,Red Bull Sea Blue Edition,2.0,2.0,3.4,-
AR00041,SmartStoreWalldorf SmartStoreWalldorf / -,Barebells Soft Protein Coco Choco 55g,1.0,1.0,3.3,-
AR90037,SmartStoreWalldorf SmartStoreWalldorf / -,"Mezzo Mix 0,4L Glas Mehrweg",2.0,2.0,3.0,-
AR00415,SmartStoreWalldorf SmartStoreWalldorf / -,Coffee Cup Small,2.0,2.0,3.0,-
AR00190,SmartStoreWalldorf SmartStoreWalldorf / -,Brown Donut,2.0,2.0,3.0,-
AR00005,SmartStoreWalldorf SmartStoreWalldorf / -,Manner Neapolitaner Schnitten 75g,3.0,3.0,3.0,-
AR00001,SmartStoreWalldorf SmartStoreWalldorf / -,Kinder Bueno 43g Ferrero,3.0,3.0,3.0,-
AR00118,SmartStoreWalldorf SmartStoreWalldorf / -,mB Eier frisch ML,1.0,1.0,2.95,-
AR00397,SmartStoreWalldorf SmartStoreWalldorf / -,Koro Protein Bar Butter Cups,1.0,1.0,2.5,-
AR00395,SmartStoreWalldorf SmartStoreWalldorf / -,Koro Protein Bar Schoko Brownie,1.0,1.0,2.5,-
AR00187,SmartStoreWalldorf SmartStoreWalldorf / -,Twix Ice Cream Eisriegel,1.0,1.0,2.5,-
AR00057,SmartStoreWalldorf SmartStoreWalldorf / -,HofEis Erdbeere Sorbet 130ml,1.0,1.0,2.5,-
AR00056,SmartStoreWalldorf SmartStoreWalldorf / -,HofEis Joghurt Heidelbeere 130ml,1.0,1.0,2.5,-
AR00055,SmartStoreWalldorf SmartStoreWalldorf / -,HofEis Stracciatella 130ml,1.0,1.0,2.5,-
AR00025,SmartStoreWalldorf SmartStoreWalldorf / -,Mars Ice Cream Eisriegel,1.0,1.0,2.5,-
AR00404,SmartStoreWalldorf SmartStoreWalldorf / -,"Bio creamy cocos fairness 37,5g",2.0,2.0,2.4,-
AR00211,SmartStoreWalldorf SmartStoreWalldorf / -,Mars Riegel Mars 2 Pack 70g,2.0,2.0,2.4,-
AR00210,SmartStoreWalldorf SmartStoreWalldorf / -,Snickers Riegel  2 Pack,2.0,2.0,2.4,-
AR00332,SmartStoreWalldorf SmartStoreWalldorf / -,BIO Hafer Drink Cappuccino Oatly,1.0,1.0,2.25,-
AR00094,SmartStoreWalldorf SmartStoreWalldorf / -,Disposable cutlery set,7.0,7.0,2.1,-
AR00074,SmartStoreWalldorf SmartStoreWalldorf / -,Mikrowe Pommes extra dünn,1.0,1.0,2.0,-
AR90019,SmartStoreWalldorf SmartStoreWalldorf / -,DPG Vitamin Well Hydrate,1.0,1.0,1.95,-
AR00240,SmartStoreWalldorf SmartStoreWalldorf / -,HOMEMADE BUN Cheese,1.0,1.0,1.9,-
AR00019,SmartStoreWalldorf SmartStoreWalldorf / -,Graci Laboratories Funtional Meal Cousco,1.0,1.0,1.8,-
AR90009,SmartStoreWalldorf SmartStoreWalldorf / -,"Powerade Mountain Blast 0,5l PEW",1.0,1.0,1.6,-
AR00178,SmartStoreWalldorf SmartStoreWalldorf / -,Pringles Original,1.0,1.0,1.4,-
AR00090,SmartStoreWalldorf SmartStoreWalldorf / -,BiFi Carazza,1.0,1.0,1.3,-
AR00322,SmartStoreWalldorf SmartStoreWalldorf / -,GIANT Yoghurt Flapjack Banana,1.0,1.0,1.2,-
AR00320,SmartStoreWalldorf SmartStoreWalldorf / -,GIANT Flapjack Hazelnut,1.0,1.0,1.2,-
AR00213,SmartStoreWalldorf SmartStoreWalldorf / -,Twix Xtra 75g,1.0,1.0,1.2,-
AR00214,SmartStoreWalldorf SmartStoreWalldorf / -,Kitkat Chunky 40g Nestlé,1.0,1.0,1.0,-
AR00054,SmartStoreWalldorf SmartStoreWalldorf / -,M&M Peanut,1.0,1.0,1.0,-
AR00010,SmartStoreWalldorf SmartStoreWalldorf / -,Protein Bar Chocolate,1.0,1.0,1.0,-
