articleId,articleName,quantitySold,grossSalesBeforeDiscount,grossDiscount,grossSales,netRevenueBeforeDiscount,netDiscount,netRevenue,vatAmount,dueAmount,unitPriceGross,vatRatePct
AR00088,Wick Blau ohne Zucker,3.0,6.6,0.0,6.6,6.18,0.0,6.18,0.42,6.6,2.2,6.8
AR00082,Nivea Creme,3.0,8.7,0.0,8.7,7.32,0.0,7.32,1.38,8.7,2.9,18.9
AR00067,BF ICE CREAM Haselnuss 100ml Bio Vegan,3.0,7.5,0.0,7.5,7.01,0.0,7.01,0.49,7.5,2.5,7.0
AR00015,Markenbutter Alu,3.0,9.9,0.0,9.9,9.25,0.0,9.25,0.65,9.9,3.3,7.0
AR00456,Heitlinger Pinot Bois,2.0,23.0,0.0,23.0,19.33,0.0,19.33,3.67,23.0,11.5,19.0
AR00432,ichoc Choco Cookie,2.0,7.0,0.0,7.0,6.54,0.0,6.54,0.46,7.0,3.5,7.0
AR00426,Barilla Spaghetti,2.0,5.0,0.0,5.0,4.68,0.0,4.68,0.32,5.0,2.5,6.8
AR00420,Gewürzgurken Durach,2.0,5.2,0.0,5.2,4.86,0.0,4.86,0.34,5.2,2.6,7.0
AR00419,LARQ Twist Bottle Seaside Mint 740ml,2.0,88.0,0.0,88.0,82.24,0.0,82.24,5.76,88.0,44.0,7.0
AR00390,LARQ TWIST BOTTLE Granite White 740ml,2.0,88.0,0.0,88.0,82.25,0.0,82.25,5.75,88.0,44.0,7.0
AR00376,Mein Glück Milch Kakao,2.0,8.5,0.0,8.5,7.95,0.0,7.95,0.55,8.5,4.25,6.9
AR00375,Stick Lembke Tee Minze Lavendel & Verben,2.0,9.9,0.0,9.9,9.25,0.0,9.25,0.65,9.9,4.95,7.0
AR00341,Hausmacher Leberwurst 200g Dose,2.0,7.8,0.0,7.8,7.28,0.0,7.28,0.52,7.8,3.9,7.1
AR00331,The Yeah Blend Green Matcha Latte Powder,2.0,39.0,3.9,35.1,36.44,3.64,32.8,2.3,35.1,19.5,7.0
AR00325,Mahi Sauce Chipotle Smoked Jalapeno,2.0,7.9,0.0,7.9,7.39,0.0,7.39,0.51,7.9,3.95,6.9
AR00324,Mahi Marinade Peri Peri Mango & Lime,2.0,6.6,0.0,6.6,6.17,0.0,6.17,0.43,6.6,3.3,7.0
AR00317,Bellezini Bruschettine Tomato & Oregano,2.0,5.0,0.0,5.0,4.68,0.0,4.68,0.32,5.0,2.5,6.8
AR00314,Bellezini Focaccine Basil 12 x 150 g,2.0,5.0,0.0,5.0,4.68,0.0,4.68,0.32,5.0,2.5,6.8
AR00280,Grauburgunder | Weingut Oliver Zeter,2.0,23.8,0.0,23.8,20.0,0.0,20.0,3.8,23.8,11.9,19.0
AR00270,Household sponge Zellulose,2.0,5.0,0.0,5.0,4.21,0.0,4.21,0.79,5.0,2.5,18.8
AR00236,Lunchbox 800ml Edelstahl,2.0,32.0,0.0,32.0,26.9,0.0,26.9,5.1,32.0,16.0,19.0
AR00230,Thermobecher 480ml Bambus & Edelstahl,2.0,34.0,0.0,34.0,28.58,0.0,28.58,5.42,34.0,17.0,19.0
AR00218,Ritter Sport Nougat 100g,2.0,3.8,0.0,3.8,3.56,0.0,3.56,0.24,3.8,1.9,6.7
AR00171,Dr Oetker Ofenfrische Peperoni Salami,2.0,7.9,0.0,7.9,7.38,0.0,7.38,0.52,7.9,3.95,7.0
AR00153,Herta Finesse Schinken 100g,2.0,7.0,0.0,7.0,6.54,0.0,6.54,0.46,7.0,3.5,7.0
AR00147,Butcher Lasagne Yeah,2.0,9.8,0.0,9.8,9.16,0.0,9.16,0.64,9.8,4.9,7.0
AR00117,BiFi Veggie Roll XXL,2.0,4.2,0.0,4.2,3.92,0.0,3.92,0.28,4.2,2.1,7.1
AR00110,Hansaplast Sensitive,2.0,7.0,0.0,7.0,5.88,0.0,5.88,1.12,7.0,3.5,19.0
AR00104,Nissin Cup Veggie Miso,2.0,5.2,0.0,5.2,4.86,0.0,4.86,0.34,5.2,2.6,7.0
AR00089,Wick Zitrone ohne Zucker,2.0,4.4,0.0,4.4,4.12,0.0,4.12,0.28,4.4,2.2,6.8
AR00070,Milka Alpenmilch,2.0,4.6,0.0,4.6,4.3,0.0,4.3,0.3,4.6,2.3,7.0
AR00047,"Theo Birnen Balsamico Essig 0,5l",2.0,17.8,0.0,17.8,16.64,0.0,16.64,1.16,17.8,8.9,7.0
AR00034,ARAMARK Grobes Meersalz 90g Mühle,2.0,4.0,0.0,4.0,3.74,0.0,3.74,0.26,4.0,2.0,7.0
AR00033,Salami  Regio Di Parma 80gr,2.0,6.9,0.0,6.9,6.45,0.0,6.45,0.45,6.9,3.45,7.0
AR00020,Graci Müsli High Beautiful,2.0,7.8,0.0,7.8,7.29,0.0,7.29,0.51,7.8,3.9,7.0
AR00017,Wheat Germ & Tomato Cuori 250g,2.0,7.8,0.0,7.8,7.28,0.0,7.28,0.52,7.8,3.9,7.1
SM0017,Milk Chocolate Style Raisins,1.0,1.99,0.0,1.99,1.67,0.0,1.67,0.32,1.99,1.99,19.2
SM0014,Sunny Bites Banana Chips,1.0,0.99,0.0,0.99,0.83,0.0,0.83,0.16,0.99,0.99,19.3
IKA005,"LÅNGLUR - Fruit  smoothie, yellow/added",1.0,0.99,0.0,0.99,0.83,0.0,0.83,0.16,0.99,0.99,19.3
AR90028,Teinacher Rhabarber Mirabelle,1.0,1.6,0.0,1.6,1.34,0.0,1.34,0.26,1.6,1.6,19.4
AR00453,Bifi Roll XXL,1.0,2.1,0.0,2.1,1.96,0.0,1.96,0.14,2.1,2.1,7.1
AR00442,Lacroix Tomato Cream Soup,1.0,2.49,0.0,2.49,2.33,0.0,2.33,0.16,2.49,2.49,6.9
AR00436,Steiner´s Low Carb Pancakes,1.0,4.35,0.0,4.35,4.07,0.0,4.07,0.28,4.35,4.35,6.9
AR00393,Aufstrich Wie Leberwurst,1.0,2.75,0.0,2.75,2.57,0.0,2.57,0.18,2.75,2.75,7.0
AR00392,Proteinaufstrich Paprika Pfeffer,1.0,2.75,0.0,2.75,2.56,0.0,2.56,0.19,2.75,2.75,7.4
AR00389,Apfelsaft BIB 3l,1.0,5.5,0.0,5.5,5.14,0.0,5.14,0.36,5.5,5.5,7.0
AR00384,HANDL Almwurzerl,1.0,3.95,0.0,3.95,3.69,0.0,3.69,0.26,3.95,3.95,7.0
AR00382,Dr.  Kargs Protein Knäcke,1.0,3.25,0.0,3.25,3.03,0.0,3.03,0.22,3.25,3.25,7.3
AR00380,La Monegaque Sardinen mit Chili,1.0,3.75,0.0,3.75,3.5,0.0,3.5,0.25,3.75,3.75,7.1
AR00377,Mein Glück aus Haselnüssen,1.0,4.25,0.0,4.25,3.97,0.0,3.97,0.28,4.25,4.25,7.1
AR00373,Stick Lembke Tee Minze Limette Hibiskus,1.0,4.95,0.0,4.95,4.63,0.0,4.63,0.32,4.95,4.95,6.9
AR00371,Stick Lembke Tee Minze Ingwer orange,1.0,4.95,0.0,4.95,4.63,0.0,4.63,0.32,4.95,4.95,6.9
AR00360,Dosenturm Unsere Besten,1.0,14.9,0.0,14.9,13.93,0.0,13.93,0.97,14.9,14.9,7.0
AR00359,Geschnetzeltes vom D. Angus Rind im Glas,1.0,7.9,0.0,7.9,7.38,0.0,7.38,0.52,7.9,7.9,7.0
AR00356,Wiener im Glas 390g,1.0,5.5,0.0,5.5,5.14,0.0,5.14,0.36,5.5,5.5,7.0
AR00349,Currywurst im Glas 390g,1.0,6.6,0.0,6.6,6.17,0.0,6.17,0.43,6.6,6.6,7.0
AR00346,Rindslyoner 200g Dose,1.0,3.9,0.0,3.9,3.64,0.0,3.64,0.26,3.9,3.9,7.1
AR00345,Jagdwurst 200g Dose,1.0,3.9,0.0,3.9,3.64,0.0,3.64,0.26,3.9,3.9,7.1
AR00344,Schinkenwurst 200g Dose,1.0,3.9,0.0,3.9,3.64,0.0,3.64,0.26,3.9,3.9,7.1
AR00330,The Yeah Blend Pistatcha Latte Powder,1.0,19.5,0.0,19.5,18.22,0.0,18.22,1.28,19.5,19.5,7.0
AR00323,Mahi Marinade Peri Peri Hot,1.0,3.3,0.0,3.3,3.08,0.0,3.08,0.22,3.3,3.3,7.1
AR00306,Graci Lab. Functional Muesli 50 Gluten,1.0,4.7,0.0,4.7,4.39,0.0,4.39,0.31,4.7,4.7,7.1
AR00304,Graci Laboratories Muesli Fruits Big Tu,1.0,5.65,0.0,5.65,5.28,0.0,5.28,0.37,5.65,5.65,7.0
AR00303,Graci Laboratories Muesli NutsBig Tube,1.0,5.65,0.0,5.65,5.28,0.0,5.28,0.37,5.65,5.65,7.0
AR00302,HIP Oat Milk Chocolate Cookies,1.0,3.95,0.0,3.95,3.69,0.0,3.69,0.26,3.95,3.95,7.0
AR00301,HIP Oat Milk Chocolate Salty Pretzels,1.0,3.95,0.0,3.95,3.69,0.0,3.69,0.26,3.95,3.95,7.0
AR00284,Alpro Haferdrink Barista Glutenfrei,1.0,2.35,0.0,2.35,1.97,0.0,1.97,0.38,2.35,2.35,19.3
AR00271,Kaffee SAP Kaffee 1000gr.,1.0,27.0,0.0,27.0,25.24,0.0,25.24,1.76,27.0,27.0,7.0
AR00231,Deostick Sweet Summer,1.0,3.95,0.0,3.95,3.32,0.0,3.32,0.63,3.95,3.95,19.0
AR00229,Thermobecher 360ml Bambus & Edelstahl,1.0,15.0,0.0,15.0,12.61,0.0,12.61,2.39,15.0,15.0,19.0
AR00228,Zahnbürste Bambus,1.0,6.9,0.0,6.9,5.8,0.0,5.8,1.1,6.9,6.9,19.0
AR00227,Haarbürste Bambus,1.0,11.9,0.0,11.9,10.0,0.0,10.0,1.9,11.9,11.9,19.0
AR00216,Red Band Schnuller Cola 100St. Dose,1.0,6.9,0.0,6.9,6.45,0.0,6.45,0.45,6.9,6.9,7.0
AR00201,Aramark Espresso Firenze 1kg,1.0,27.0,0.0,27.0,25.24,0.0,25.24,1.76,27.0,27.0,7.0
AR00197,Knäckebrot Urtyp 250g Burger,1.0,1.8,0.0,1.8,1.68,0.0,1.68,0.12,1.8,1.8,7.1
AR00196,Weizenmehl Typ 405 1kg,1.0,1.6,0.0,1.6,1.5,0.0,1.5,0.1,1.6,1.6,6.7
AR00186,Gouda i. Scheiben frisch 100gr,1.0,2.5,0.0,2.5,2.34,0.0,2.34,0.16,2.5,2.5,6.8
AR00175,Icefrocks Premium Eiswürf,1.0,2.5,0.0,2.5,2.34,0.0,2.34,0.16,2.5,2.5,6.8
AR00172,Dr. Oetker Ofenfrische 4 Käse,1.0,3.95,0.0,3.95,3.7,0.0,3.7,0.25,3.95,3.95,6.8
AR00156,Duschdas Dusche Sport 225ml Flasche Alte,1.0,3.95,0.0,3.95,3.32,0.0,3.32,0.63,3.95,3.95,19.0
AR00149,Butcher Chick Curry Ki 400g,1.0,5.6,0.0,5.6,5.24,0.0,5.24,0.36,5.6,5.6,6.9
AR00143,Fairy Original Spülmittel,1.0,2.95,0.0,2.95,2.76,0.0,2.76,0.19,2.95,2.95,6.9
AR00142,Wies Gefl Mortadella     100g,1.0,1.8,0.0,1.8,1.68,0.0,1.68,0.12,1.8,1.8,7.1
AR00140,Bautz ner Senf mittelsch,1.0,2.9,0.0,2.9,2.71,0.0,2.71,0.19,2.9,2.9,7.0
AR00133,Zewa UltraSoft Toilettenp,1.0,3.5,0.0,3.5,2.94,0.0,2.94,0.56,3.5,3.5,19.0
AR00132,GO FRESH Salatmix Italia,1.0,6.9,0.0,6.9,6.45,0.0,6.45,0.45,6.9,6.9,7.0
AR00131,GO FRESH Saladbowl Caesar,1.0,6.9,0.0,6.9,6.45,0.0,6.45,0.45,6.9,6.9,7.0
AR00119,Oet Baguette Salami,1.0,3.5,0.0,3.5,3.27,0.0,3.27,0.23,3.5,3.5,7.0
AR00113,Erdnussflips,1.0,1.9,0.0,1.9,1.78,0.0,1.78,0.12,1.9,1.9,6.7
AR00105,Anzündwolle,1.0,3.95,0.0,3.95,3.31,0.0,3.31,0.64,3.95,3.95,19.3
AR00098,Kölln Hafer Porridge Frucht 375g,1.0,5.75,0.0,5.75,5.38,0.0,5.38,0.37,5.75,5.75,6.9
AR00097,Erbsen Möhren Dose Glas,1.0,4.3,0.0,4.3,4.02,0.0,4.02,0.28,4.3,4.3,7.0
AR00086,Disposable barbecue,1.0,4.95,2.48,2.47,4.16,2.08,2.08,0.39,2.47,4.95,18.8
AR00076,Grill Kohle,1.0,5.5,1.65,3.85,4.62,1.38,3.24,0.61,3.85,5.5,18.8
AR00062,Flash barbecue lighter,1.0,1.9,0.57,1.33,1.6,0.48,1.12,0.21,1.33,1.9,18.7
AR00061,Mais Dose Glas,1.0,2.5,0.0,2.5,2.34,0.0,2.34,0.16,2.5,2.5,6.8
AR00053,Tomatenmark 200g Tube,1.0,3.4,0.0,3.4,3.18,0.0,3.18,0.22,3.4,3.4,6.9
AR00050,"Theo Weisskirsch Balsamico 0,5l",1.0,12.9,0.0,12.9,12.07,0.0,12.07,0.83,12.9,12.9,6.9
AR00049,"Theo Pflaumen Balsamico 0,5l",1.0,8.9,0.0,8.9,8.32,0.0,8.32,0.58,8.9,8.9,7.0
AR00043,BIO Olivenöl nativ extra 500ml,1.0,8.9,0.0,8.9,8.31,0.0,8.31,0.59,8.9,8.9,7.1
AR00038,Nutella Glas 450g Glas,1.0,4.95,0.0,4.95,4.63,0.0,4.63,0.32,4.95,4.95,6.9
AR00035,ARAMARK BIO Pfeffer schwarz 40g Mühle,1.0,2.5,0.0,2.5,2.34,0.0,2.34,0.16,2.5,2.5,6.8
AR00030,ichoc Jackfruit Coconut vegan 80g,1.0,3.5,0.0,3.5,3.27,0.0,3.27,0.23,3.5,3.5,7.0
AR00029,ichoc Salty Pretzel vegan 80g,1.0,3.5,0.0,3.5,3.27,0.0,3.27,0.23,3.5,3.5,7.0
AR00019,Graci Laboratories Funtional Meal Cousco,1.0,1.8,0.0,1.8,1.68,0.0,1.68,0.12,1.8,1.8,7.1
AR00018,Graci Laboratories Functional Meal Buckw,1.0,1.8,0.0,1.8,1.68,0.0,1.68,0.12,1.8,1.8,7.1
SM0018,TOPVALU Joynuts Caramel Coffee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SM0016,Natural Happiness Nut & Fruit Mix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
SM0015,Becky's DUO Cakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
IKA018,FAZER - Milk chocolate tablet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
IKA011,KAFFEREP - Oat biscuits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
IKA003,DRYCK BLÅBÄR - Blueberry syrup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
