articleName,quantity,netRevenue,vatAmount,dueAmount,hourStart,date,hour,dayOfWeek
HOMEMADE BUN Veggie Laugenecke Tom Moz,1.0,2.34,0.16,2.5,2026-02-12 18:00:00,2026-02-12,18,3
Laugenbrezel mit Butter,1.0,1.68,0.12,1.8,2026-02-12 19:00:00,2026-02-12,19,3
HOMEMADE BUN Cheese,1.0,1.78,0.12,1.9,2026-02-12 21:00:00,2026-02-12,21,3
Brown Donut,1.0,1.4,0.1,1.5,2026-02-12 22:00:00,2026-02-12,22,3
Beef Jerky Original,1.0,1.64,0.11,1.75,2026-02-13 08:00:00,2026-02-13,8,4
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-13 08:00:00,2026-02-13,8,4
"Red Bull Sugar Free 0,25",1.0,1.07,0.2,1.27,2026-02-13 08:00:00,2026-02-13,8,4
Tempo Klassik Taschentücher,1.0,2.69,0.51,3.2,2026-02-13 09:00:00,2026-02-13,9,4
Protein Bar Chocolate,1.0,0.93,0.07,1.0,2026-02-13 12:00:00,2026-02-13,12,4
"Theo Birnen Balsamico Essig 0,5l",2.0,16.64,1.16,17.8,2026-02-13 12:00:00,2026-02-13,12,4
Mentos Gum Pure Frost,1.0,3.27,0.23,3.5,2026-02-13 12:00:00,2026-02-13,12,4
HOMEMADE Breakfastcup 285g,1.0,2.9,0.2,3.1,2026-02-13 12:00:00,2026-02-13,12,4
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-02-13 12:00:00,2026-02-13,12,4
HIP Oat Milk Chocolate Salty Pretzels,1.0,3.69,0.26,3.95,2026-02-13 12:00:00,2026-02-13,12,4
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-02-13 12:00:00,2026-02-13,12,4
"Coca Cola Zero 0,4L Glas Mehrweg",1.0,1.26,0.24,1.5,2026-02-13 12:00:00,2026-02-13,12,4
Becky's DUO Cakes,1.0,0.45,0.09,0.54,2026-02-13 12:00:00,2026-02-13,12,4
Natural Happiness Nut & Fruit Mix,2.0,2.68,0.51,3.19,2026-02-13 12:00:00,2026-02-13,12,4
TOPVALU Joynuts Caramel Coffee,1.0,2.49,0.47,2.96,2026-02-13 12:00:00,2026-02-13,12,4
Snickers Ice Cream Eisrie,1.0,2.34,0.16,2.5,2026-02-13 13:00:00,2026-02-13,13,4
Soft Protein Riegel Salted Peanut Carame,1.0,2.99,0.21,3.2,2026-02-13 13:00:00,2026-02-13,13,4
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-13 13:00:00,2026-02-13,13,4
DPG Vitamin Well Reload,1.0,1.64,0.31,1.95,2026-02-13 13:00:00,2026-02-13,13,4
La Nogger Choc,1.0,1.87,0.13,2.0,2026-02-13 14:00:00,2026-02-13,14,4
Snickers Protein Riegel,1.0,2.99,0.21,3.2,2026-02-13 15:00:00,2026-02-13,15,4
Haribo Color Rado 100g,1.0,0.93,0.07,1.0,2026-02-13 15:00:00,2026-02-13,15,4
Aramark Seasoning Mix,1.0,3.64,0.25,3.89,2026-02-13 15:00:00,2026-02-13,15,4
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-02-13 15:00:00,2026-02-13,15,4
"Coca Cola Zero 0,4L Glas Mehrweg",1.0,1.26,0.24,1.5,2026-02-13 15:00:00,2026-02-13,15,4
Koro Protein Bar Butter Cups,1.0,2.34,0.16,2.5,2026-02-13 18:00:00,2026-02-13,18,4
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-02-13 18:00:00,2026-02-13,18,4
Teinacher classic,1.0,1.01,0.19,1.2,2026-02-13 18:00:00,2026-02-13,18,4
GO FRESH Wrap Chicken Chi,1.0,3.55,0.25,3.8,2026-02-13 20:00:00,2026-02-13,20,4
Twix Xtra 75g,1.0,1.12,0.08,1.2,2026-02-13 20:00:00,2026-02-13,20,4
Koro Protein Bar Peanut Chocolate,1.0,2.06,0.14,2.2,2026-02-13 21:00:00,2026-02-13,21,4
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-13 21:00:00,2026-02-13,21,4
Red Bull White Edition,1.0,1.07,0.2,1.27,2026-02-13 21:00:00,2026-02-13,21,4
Airwaves Menth & Eucalypt,6.0,5.6,0.4,6.0,2026-02-14 12:00:00,2026-02-14,12,5
HOMEMADE Breakfastcup 285g,1.0,2.9,0.2,3.1,2026-02-14 12:00:00,2026-02-14,12,5
"Leergut 0,25 EUR",7.0,1.47,0.28,1.75,2026-02-14 12:00:00,2026-02-14,12,5
DPG Vitamin Well Reload,4.0,6.55,1.25,7.8,2026-02-14 12:00:00,2026-02-14,12,5
DPG Vitamin Well Hydrate,1.0,1.64,0.31,1.95,2026-02-14 12:00:00,2026-02-14,12,5
DPG Vitamin Well Prepare,2.0,3.28,0.62,3.9,2026-02-14 12:00:00,2026-02-14,12,5
Nutella Glas 450g Glas,1.0,4.63,0.32,4.95,2026-02-15 14:00:00,2026-02-15,14,6
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-02-15 14:00:00,2026-02-15,14,6
DPG Vitamin Well Prepare,1.0,1.64,0.31,1.95,2026-02-15 14:00:00,2026-02-15,14,6
Untou Bio Matcha Zitrone,1.0,1.34,0.26,1.6,2026-02-15 14:00:00,2026-02-15,14,6
La Cornetto Haselnuss,2.0,3.74,0.26,4.0,2026-02-15 16:00:00,2026-02-15,16,6
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-15 16:00:00,2026-02-15,16,6
"Hochwald Eisschoko 0,25l Dose",1.0,1.31,0.09,1.4,2026-02-15 16:00:00,2026-02-15,16,6
Griesson Schoko Mountain Cookies 125g,1.0,1.69,0.11,1.8,2026-02-15 18:00:00,2026-02-15,18,6
M&M Peanut,1.0,0.93,0.07,1.0,2026-02-15 18:00:00,2026-02-15,18,6
"Leergut 0,08 EUR",1.0,0.07,0.01,0.08,2026-02-15 18:00:00,2026-02-15,18,6
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-02-15 18:00:00,2026-02-15,18,6
Welde Slow,1.0,1.43,0.27,1.7,2026-02-15 18:00:00,2026-02-15,18,6
FUZE T PFIRSICH,1.0,1.43,0.27,1.7,2026-02-15 18:00:00,2026-02-15,18,6
Twix Xtra 75g,1.0,1.12,0.08,1.2,2026-02-15 19:00:00,2026-02-15,19,6
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-02-16 13:00:00,2026-02-16,13,0
Gepa Schokolade Noir Edelbitter 100g,1.0,2.57,0.18,2.75,2026-02-16 13:00:00,2026-02-16,13,0
"Leergut 0,15 EUR",2.0,0.26,0.04,0.3,2026-02-16 13:00:00,2026-02-16,13,0
"Leergut 0,25 EUR",3.0,0.62,0.13,0.75,2026-02-16 13:00:00,2026-02-16,13,0
Red Bull Green Edition,1.0,1.07,0.2,1.27,2026-02-16 13:00:00,2026-02-16,13,0
"Red Bull Sugar Free 0,25",1.0,1.06,0.21,1.27,2026-02-16 13:00:00,2026-02-16,13,0
Red Bull Zero,1.0,1.07,0.2,1.27,2026-02-16 13:00:00,2026-02-16,13,0
"Coca Cola Zero 0,4L Glas Mehrweg",2.0,2.52,0.48,3.0,2026-02-16 13:00:00,2026-02-16,13,0
Oreo Classic,1.0,2.71,0.19,2.9,2026-02-16 15:00:00,2026-02-16,15,0
Leibniz Schokokeks VM,1.0,3.7,0.25,3.95,2026-02-16 15:00:00,2026-02-16,15,0
Brown Donut,1.0,1.4,0.1,1.5,2026-02-16 15:00:00,2026-02-16,15,0
"Snack Nüsse, geröstet & gesalzen",1.0,3.5,0.25,3.75,2026-02-16 15:00:00,2026-02-16,15,0
Filly Nut Donut,1.0,1.4,0.1,1.5,2026-02-16 17:00:00,2026-02-16,17,0
M&M Peanut,1.0,0.93,0.07,1.0,2026-02-16 17:00:00,2026-02-16,17,0
Snickers Protein Riegel,1.0,3.0,0.2,3.2,2026-02-16 17:00:00,2026-02-16,17,0
Snickers Riegel  2 Pack,1.0,1.12,0.08,1.2,2026-02-16 17:00:00,2026-02-16,17,0
Carrot and sea buckthorn shot 60ml,1.0,1.85,0.35,2.2,2026-02-16 17:00:00,2026-02-16,17,0
Bio poppy & vanilla fairness 45g,1.0,1.12,0.08,1.2,2026-02-16 19:00:00,2026-02-16,19,0
Beef Jerky Original,1.0,1.64,0.11,1.75,2026-02-16 20:00:00,2026-02-16,20,0
BiFi Carazza,1.0,1.21,0.09,1.3,2026-02-16 20:00:00,2026-02-16,20,0
Koro Protein Bar Schoko Brownie,1.0,2.34,0.16,2.5,2026-02-16 20:00:00,2026-02-16,20,0
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-02-16 20:00:00,2026-02-16,20,0
"Powerade Mountain Blast 0,5l PEW",1.0,1.34,0.26,1.6,2026-02-16 20:00:00,2026-02-16,20,0
DPG Vitamin Well Reload,1.0,1.64,0.31,1.95,2026-02-16 20:00:00,2026-02-16,20,0
HOMEMADE Breakfastcup 285g,1.0,2.9,0.2,3.1,2026-02-17 09:00:00,2026-02-17,9,1
HOMEMADE BUN VEGAN,1.0,2.34,0.16,2.5,2026-02-17 10:00:00,2026-02-17,10,1
Koro Protein Bar Schoko Brownie,1.0,2.33,0.17,2.5,2026-02-17 10:00:00,2026-02-17,10,1
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-17 11:00:00,2026-02-17,11,1
"Powerade Mountain Blast 0,5l PEW",1.0,1.34,0.26,1.6,2026-02-17 11:00:00,2026-02-17,11,1
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-17 12:00:00,2026-02-17,12,1
Red Bull Zero,1.0,1.07,0.2,1.27,2026-02-17 12:00:00,2026-02-17,12,1
Gefüllter Triple Chocolate Muffin,1.0,2.06,0.14,2.2,2026-02-17 13:00:00,2026-02-17,13,1
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-02-17 13:00:00,2026-02-17,13,1
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-02-17 13:00:00,2026-02-17,13,1
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-02-17 13:00:00,2026-02-17,13,1
Hochwald Eis Macchiato,1.0,1.31,0.09,1.4,2026-02-17 13:00:00,2026-02-17,13,1
"Coca Cola Zero 0,4L Glas Mehrweg",1.0,1.26,0.24,1.5,2026-02-17 13:00:00,2026-02-17,13,1
Untou Bio Matcha Zitrone,1.0,1.34,0.26,1.6,2026-02-17 13:00:00,2026-02-17,13,1
Knoppers,2.0,0.94,0.06,1.0,2026-02-17 15:00:00,2026-02-17,15,1
BLACK FOREST ICE CREAM Vanille 100ml Bio,1.0,2.34,0.16,2.5,2026-02-17 15:00:00,2026-02-17,15,1
BLACK FOREST ICE CREAM Schokolade 100ml,1.0,2.34,0.16,2.5,2026-02-17 15:00:00,2026-02-17,15,1
Beef Jerky Original,1.0,1.64,0.11,1.75,2026-02-17 15:00:00,2026-02-17,15,1
Haribo Color Rado 100g,1.0,0.93,0.07,1.0,2026-02-17 15:00:00,2026-02-17,15,1
The Yeah Blend Green Matcha Latte Powder,1.0,14.58,1.02,15.6,2026-02-17 15:00:00,2026-02-17,15,1
Koro Protein Bar Peanut Chocolate,1.0,2.06,0.14,2.2,2026-02-17 15:00:00,2026-02-17,15,1
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-02-17 15:00:00,2026-02-17,15,1
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-02-17 15:00:00,2026-02-17,15,1
"Hochwald Eiskaffee 0,25l Dose",1.0,1.3,0.1,1.4,2026-02-17 15:00:00,2026-02-17,15,1
"Red Bull 0,25",1.0,1.07,0.2,1.27,2026-02-17 15:00:00,2026-02-17,15,1
"Coca Cola 0,4L Glas Mehrweg",1.0,1.26,0.24,1.5,2026-02-17 15:00:00,2026-02-17,15,1
Brezeln,1.0,1.78,0.12,1.9,2026-02-17 16:00:00,2026-02-17,16,1
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-02-17 16:00:00,2026-02-17,16,1
Red Bull Summer Edition,2.0,2.13,0.41,2.54,2026-02-17 16:00:00,2026-02-17,16,1
Protein Bar Caramell Toffee,1.0,0.93,0.07,1.0,2026-02-17 17:00:00,2026-02-17,17,1
Protein Bar Vanilla Stracci,1.0,0.94,0.06,1.0,2026-02-17 17:00:00,2026-02-17,17,1
HOMEMADE BUN HAM,1.0,2.34,0.16,2.5,2026-02-17 18:00:00,2026-02-17,18,1
HOMEMADE Breakfastcup 285g,1.0,2.89,0.21,3.1,2026-02-17 18:00:00,2026-02-17,18,1
"Leergut 0,08 EUR",1.0,0.07,0.01,0.08,2026-02-17 20:00:00,2026-02-17,20,1
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-02-17 20:00:00,2026-02-17,20,1
"Leergut 0,25 EUR",3.0,0.62,0.13,0.75,2026-02-17 20:00:00,2026-02-17,20,1
DPG Vitamin Well Reload,1.0,1.64,0.31,1.95,2026-02-17 20:00:00,2026-02-17,20,1
DPG Vitamin Well Hydrate,1.0,1.64,0.31,1.95,2026-02-17 20:00:00,2026-02-17,20,1
DPG Vitamin Well Prepare,1.0,1.64,0.31,1.95,2026-02-17 20:00:00,2026-02-17,20,1
Teinacher Johannisbeer Holunder,1.0,1.34,0.26,1.6,2026-02-17 20:00:00,2026-02-17,20,1
Welde Naturradler,1.0,1.43,0.27,1.7,2026-02-17 20:00:00,2026-02-17,20,1
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-02-17 21:00:00,2026-02-17,21,1
Teinacher Johannisbeer Holunder,1.0,1.34,0.26,1.6,2026-02-17 21:00:00,2026-02-17,21,1
Laugenbrezel mit Pfeffer,1.0,1.68,0.12,1.8,2026-02-18 08:00:00,2026-02-18,8,2
Airwaves Menth & Eucalypt Box,1.0,2.71,0.19,2.9,2026-02-18 08:00:00,2026-02-18,8,2
M&M Peanut,1.0,0.93,0.07,1.0,2026-02-18 14:00:00,2026-02-18,14,2
Hanuta 2er 44g,1.0,0.94,0.06,1.0,2026-02-18 14:00:00,2026-02-18,14,2
Kinderriegel,1.0,0.47,0.03,0.5,2026-02-18 14:00:00,2026-02-18,14,2
Twix Xtra 75g,1.0,1.12,0.08,1.2,2026-02-18 14:00:00,2026-02-18,14,2
Protein Bar Chocolate,1.0,0.93,0.07,1.0,2026-02-18 15:00:00,2026-02-18,15,2
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-02-18 15:00:00,2026-02-18,15,2
"Powerade Mountain Blast 0,5l PEW",1.0,1.34,0.26,1.6,2026-02-18 15:00:00,2026-02-18,15,2
Red Bull Green Edition,1.0,1.07,0.2,1.27,2026-02-18 15:00:00,2026-02-18,15,2
GIANT Flapjack Hazelnut,1.0,1.12,0.08,1.2,2026-02-18 16:00:00,2026-02-18,16,2
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-18 16:00:00,2026-02-18,16,2
Untou Bio Matcha Lime,1.0,1.34,0.26,1.6,2026-02-18 16:00:00,2026-02-18,16,2
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-02-18 17:00:00,2026-02-18,17,2
Becky's DUO Cakes,-1.0,-0.45,-0.09,-0.54,2026-02-18 17:00:00,2026-02-18,17,2
Natural Happiness Nut & Fruit Mix,-2.0,-2.68,-0.51,-3.19,2026-02-18 17:00:00,2026-02-18,17,2
TOPVALU Joynuts Caramel Coffee,-1.0,-2.49,-0.47,-2.96,2026-02-18 17:00:00,2026-02-18,17,2
Protein Bar Caramell Toffee,1.0,0.93,0.07,1.0,2026-02-18 19:00:00,2026-02-18,19,2
"Bio double milk fairness 37,5g",1.0,1.01,0.19,1.2,2026-02-18 19:00:00,2026-02-18,19,2
"Bio hazel nougat fairness 37,5g",1.0,1.01,0.19,1.2,2026-02-18 19:00:00,2026-02-18,19,2
Disposable cutlery set,1.0,0.25,0.05,0.3,2026-02-18 20:00:00,2026-02-18,20,2
GO FRESH Pastasalad Chicken,1.0,3.27,0.23,3.5,2026-02-18 20:00:00,2026-02-18,20,2
Fe Yogurette,1.0,2.34,0.16,2.5,2026-02-18 20:00:00,2026-02-18,20,2
XL Laugenbrezel 130g FG,1.0,1.31,0.09,1.4,2026-02-19 08:00:00,2026-02-19,8,3
HOMEMADE BUN HAM,1.0,2.34,0.16,2.5,2026-02-19 09:00:00,2026-02-19,9,3
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-19 09:00:00,2026-02-19,9,3
"Monster Energy 0,5l",1.0,1.85,0.35,2.2,2026-02-19 09:00:00,2026-02-19,9,3
Cashews gerös,1.0,2.06,0.14,2.2,2026-02-19 11:00:00,2026-02-19,11,3
Protein Bar Chocolate,2.0,1.87,0.13,2.0,2026-02-19 12:00:00,2026-02-19,12,3
Protein Bar Vanilla Stracci,1.0,0.93,0.07,1.0,2026-02-19 12:00:00,2026-02-19,12,3
Ritter Sport Edel Vollmilch 100g,1.0,1.78,0.12,1.9,2026-02-19 13:00:00,2026-02-19,13,3
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-02-19 13:00:00,2026-02-19,13,3
Kinder Bueno 43g Ferrero,1.0,0.93,0.07,1.0,2026-02-19 14:00:00,2026-02-19,14,3
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-19 14:00:00,2026-02-19,14,3
"Red Bull 0,25",1.0,1.07,0.2,1.27,2026-02-19 14:00:00,2026-02-19,14,3
M&M Peanut,1.0,0.93,0.07,1.0,2026-02-19 16:00:00,2026-02-19,16,3
Laugenbrezel mit Butter,1.0,1.68,0.12,1.8,2026-02-19 16:00:00,2026-02-19,16,3
Laugenbrezel mit Pfeffer,1.0,1.68,0.12,1.8,2026-02-19 16:00:00,2026-02-19,16,3
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-19 16:00:00,2026-02-19,16,3
"Powerade Mountain Blast 0,5l PEW",1.0,1.34,0.26,1.6,2026-02-19 16:00:00,2026-02-19,16,3
Nissin Cup Noodles Chicke,1.0,2.43,0.17,2.6,2026-02-19 17:00:00,2026-02-19,17,3
Snickers Riegel  2 Pack,1.0,1.12,0.08,1.2,2026-02-19 17:00:00,2026-02-19,17,3
HOMEMADE BUN VEGAN,1.0,2.34,0.16,2.5,2026-02-19 17:00:00,2026-02-19,17,3
Koro Protein Bar Butter Cups,1.0,2.34,0.16,2.5,2026-02-19 17:00:00,2026-02-19,17,3
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-19 17:00:00,2026-02-19,17,3
"Red Bull 0,25",1.0,1.07,0.2,1.27,2026-02-19 17:00:00,2026-02-19,17,3
Oet Baguette Salami,1.0,3.27,0.23,3.5,2026-02-19 20:00:00,2026-02-19,20,3
Cashews gerös,1.0,2.06,0.14,2.2,2026-02-19 20:00:00,2026-02-19,20,3
GIANT Flapjack Hazelnut,1.0,1.12,0.08,1.2,2026-02-19 20:00:00,2026-02-19,20,3
HOMEMADE BUN HAM,1.0,2.34,0.16,2.5,2026-02-20 10:00:00,2026-02-20,10,4
Gefüllter Triple Chocolate Muffin,1.0,2.06,0.14,2.2,2026-02-20 14:00:00,2026-02-20,14,4
Smothie Froosh Pineapple 250ml,1.0,2.02,0.38,2.4,2026-02-20 14:00:00,2026-02-20,14,4
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-02-20 14:00:00,2026-02-20,14,4
Koro Protein Bar Butter Cups,1.0,2.34,0.16,2.5,2026-02-20 14:00:00,2026-02-20,14,4
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-02-20 14:00:00,2026-02-20,14,4
"Leergut 0,25 EUR",4.0,0.84,0.16,1.0,2026-02-20 14:00:00,2026-02-20,14,4
Red Bull Green Edition,1.0,1.07,0.2,1.27,2026-02-20 14:00:00,2026-02-20,14,4
"Red Bull 0,25",2.0,1.78,0.34,2.12,2026-02-20 14:00:00,2026-02-20,14,4
"Coca Cola Zero 0,4L Glas Mehrweg",1.0,1.26,0.24,1.5,2026-02-20 14:00:00,2026-02-20,14,4
Red Bull Summer Edition,1.0,0.71,0.14,0.85,2026-02-20 14:00:00,2026-02-20,14,4
Soft Protein Riegel Salted Peanut Carame,1.0,2.99,0.21,3.2,2026-02-20 15:00:00,2026-02-20,15,4
Griesson Schoko Mountain Cookies 125g,1.0,1.68,0.12,1.8,2026-02-20 16:00:00,2026-02-20,16,4
Oreo Classic,1.0,2.71,0.19,2.9,2026-02-20 16:00:00,2026-02-20,16,4
Leibniz Schokokeks VM,1.0,3.69,0.26,3.95,2026-02-20 16:00:00,2026-02-20,16,4
M Cooky Spritzgebäck,1.0,1.87,0.13,2.0,2026-02-20 16:00:00,2026-02-20,16,4
Gefüllter Triple Chocolate Muffin,1.0,2.06,0.14,2.2,2026-02-20 16:00:00,2026-02-20,16,4
Brown Donut,1.0,1.4,0.1,1.5,2026-02-20 16:00:00,2026-02-20,16,4
GIANT Flapjack Pecanut,1.0,1.12,0.08,1.2,2026-02-20 16:00:00,2026-02-20,16,4
"Leergut 0,08 EUR",5.0,0.34,0.06,0.4,2026-02-20 16:00:00,2026-02-20,16,4
Welde Slow,5.0,7.14,1.36,8.5,2026-02-20 16:00:00,2026-02-20,16,4
Filly Nut Donut,1.0,1.41,0.09,1.5,2026-02-20 17:00:00,2026-02-20,17,4
Airwaves Menth & Eucalypt,1.0,0.93,0.07,1.0,2026-02-20 17:00:00,2026-02-20,17,4
"Leergut 0,08 EUR",3.0,0.2,0.04,0.24,2026-02-20 17:00:00,2026-02-20,17,4
Welde Slow,1.0,1.43,0.27,1.7,2026-02-20 17:00:00,2026-02-20,17,4
Welde Weizen,2.0,3.19,0.61,3.8,2026-02-20 17:00:00,2026-02-20,17,4
Filly Nut Donut,1.0,1.4,0.1,1.5,2026-02-20 18:00:00,2026-02-20,18,4
Manner Neapolitaner Schnitten 75g,2.0,1.87,0.13,2.0,2026-02-21 12:00:00,2026-02-21,12,5
Wheat Germ & Tomato Cuori 250g,1.0,3.64,0.26,3.9,2026-02-21 12:00:00,2026-02-21,12,5
Bellezini Focaccine Rosemary,1.0,2.34,0.16,2.5,2026-02-21 12:00:00,2026-02-21,12,5
Bio poppy & vanilla fairness 45g,1.0,1.12,0.08,1.2,2026-02-21 12:00:00,2026-02-21,12,5
"Bio creamy cocos fairness 37,5g",1.0,1.12,0.08,1.2,2026-02-21 12:00:00,2026-02-21,12,5
Aramark Seasoning Mix,1.0,3.64,0.25,3.89,2026-02-21 12:00:00,2026-02-21,12,5
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-02-21 19:00:00,2026-02-21,19,5
GO FRESH Wrap Chicken Chi,1.0,3.55,0.25,3.8,2026-02-21 21:00:00,2026-02-21,21,5
Protein Bar Vanilla Stracci,1.0,0.93,0.07,1.0,2026-02-22 00:00:00,2026-02-22,0,6
DPG Vitamin Well Hydrate,1.0,1.64,0.31,1.95,2026-02-22 00:00:00,2026-02-22,0,6
GO FRESH Sandw Pute Ei,1.0,3.55,0.25,3.8,2026-02-22 10:00:00,2026-02-22,10,6
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-02-22 10:00:00,2026-02-22,10,6
Manner Neapolitaner Schnitten 75g,1.0,0.93,0.07,1.0,2026-02-22 15:00:00,2026-02-22,15,6
Studentenfutt,1.0,1.87,0.13,2.0,2026-02-22 15:00:00,2026-02-22,15,6
La Magnum Classic,1.0,2.52,0.18,2.7,2026-02-22 15:00:00,2026-02-22,15,6
Herta Finesse Schinken 100g,1.0,3.27,0.23,3.5,2026-02-22 15:00:00,2026-02-22,15,6
GO FRESH Wrap Thunfisch,1.0,3.55,0.25,3.8,2026-02-22 15:00:00,2026-02-22,15,6
Twix Ice Cream Eisriegel,2.0,4.68,0.32,5.0,2026-02-22 15:00:00,2026-02-22,15,6
Snickers Riegel  2 Pack,1.0,1.12,0.08,1.2,2026-02-22 15:00:00,2026-02-22,15,6
Ritter Sport Edel Vollmilch 100g,1.0,1.78,0.12,1.9,2026-02-22 15:00:00,2026-02-22,15,6
Mein Glück aus Mandeln,1.0,3.98,0.27,4.25,2026-02-22 15:00:00,2026-02-22,15,6
"Leergut 0,15 EUR",2.0,0.25,0.05,0.3,2026-02-22 15:00:00,2026-02-22,15,6
Teinacher Mango Maracuja,1.0,1.34,0.26,1.6,2026-02-22 15:00:00,2026-02-22,15,6
FUZE T PFIRSICH,1.0,1.43,0.27,1.7,2026-02-22 15:00:00,2026-02-22,15,6
Mars Riegel Mars 2 Pack 70g,1.0,1.12,0.08,1.2,2026-02-22 21:00:00,2026-02-22,21,6
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-22 21:00:00,2026-02-22,21,6
YFood Trink Vanilla,1.0,4.58,0.32,4.9,2026-02-22 21:00:00,2026-02-22,21,6
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-02-23 09:00:00,2026-02-23,9,0
Red Bull Blue Edition,1.0,1.07,0.2,1.27,2026-02-23 09:00:00,2026-02-23,9,0
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-02-23 10:00:00,2026-02-23,10,0
Red Bull White Edition,1.0,1.06,0.21,1.27,2026-02-23 10:00:00,2026-02-23,10,0
Red Bull Green Edition,1.0,1.07,0.2,1.27,2026-02-23 10:00:00,2026-02-23,10,0
Beef Jerky Original,1.0,1.64,0.11,1.75,2026-02-23 11:00:00,2026-02-23,11,0
HOMEMADE BUN Salami,1.0,2.33,0.17,2.5,2026-02-23 11:00:00,2026-02-23,11,0
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-02-23 13:00:00,2026-02-23,13,0
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-02-23 13:00:00,2026-02-23,13,0
"Red Bull 0,25",1.0,0.72,0.13,0.85,2026-02-23 13:00:00,2026-02-23,13,0
Red Bull Zero,1.0,0.71,0.14,0.85,2026-02-23 13:00:00,2026-02-23,13,0
Toothpaste Blenda Med,1.0,1.6,0.3,1.9,2026-02-23 14:00:00,2026-02-23,14,0
OralB Classic Car 35 Mit,1.0,0.92,0.18,1.1,2026-02-23 14:00:00,2026-02-23,14,0
Duplo,1.0,0.47,0.03,0.5,2026-02-23 16:00:00,2026-02-23,16,0
Kinderriegel,1.0,0.47,0.03,0.5,2026-02-23 16:00:00,2026-02-23,16,0
Haribo Color Rado 100g,3.0,2.81,0.19,3.0,2026-02-23 16:00:00,2026-02-23,16,0
GIANT Flapjack Hazelnut,1.0,1.12,0.08,1.2,2026-02-23 16:00:00,2026-02-23,16,0
GIANT Flapjack Pecanut,1.0,1.12,0.08,1.2,2026-02-23 16:00:00,2026-02-23,16,0
Bio poppy & vanilla fairness 45g,1.0,1.12,0.08,1.2,2026-02-23 16:00:00,2026-02-23,16,0
"Bio double milk fairness 37,5g",1.0,1.01,0.19,1.2,2026-02-23 16:00:00,2026-02-23,16,0
"Bio hazel nougat fairness 37,5g",1.0,1.01,0.19,1.2,2026-02-23 16:00:00,2026-02-23,16,0
XL Laugenbrezel 130g FG,1.0,1.31,0.09,1.4,2026-02-23 17:00:00,2026-02-23,17,0
"Bio creamy cocos fairness 37,5g",1.0,1.12,0.08,1.2,2026-02-23 17:00:00,2026-02-23,17,0
Laugenbrezel mit Butter,1.0,1.68,0.12,1.8,2026-02-23 19:00:00,2026-02-23,19,0
Twix Xtra 75g,1.0,1.12,0.08,1.2,2026-02-23 19:00:00,2026-02-23,19,0
GIANT Flapjack Hazelnut,1.0,1.12,0.08,1.2,2026-02-23 19:00:00,2026-02-23,19,0
Bio cookies & choc fairness 45g,1.0,1.12,0.08,1.2,2026-02-23 19:00:00,2026-02-23,19,0
